case,current_status,aor_date,stream,dependents,province,nationality,residence,visa_office,med_passed_date,add_docs_request_date,rprf_paid_date,ss_start_date,final_decision,final_decision_date,state
79265,e-APR AOR,2019-08-01,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-08-01,None,None,Pending,Active
79166,e-APR AOR,2019-08-01,FSW-Outland,1,None,Brazil,Brazil,Sydney,Pending,None,2019-08-01,None,None,Pending,Active
79058,e-APR AOR,2019-08-01,CEC,3,None,India,India,Unspecified,Pending,None,2019-08-01,None,None,Pending,Active
79049,e-APR AOR,2019-08-01,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-08-01,None,None,Pending,Active
79212,e-APR AOR,2019-07-31,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-30,None,None,Pending,Active
79150,e-APR AOR,2019-07-31,FSW-Outland,3,None,Nigeria,Nigeria,Unspecified,Pending,None,2019-07-31,None,None,Pending,Active
79104,e-APR AOR,2019-07-31,CEC,1,None,Brazil,Canada,Unspecified,Pending,None,2019-07-31,None,None,Pending,Active
78972,e-APR AOR,2019-07-31,FSW-Outland,0,None,Tunisia,UAE,Unspecified,Pending,None,2019-07-31,None,None,Pending,Active
78886,e-APR AOR,2019-07-31,FSW-Outland,0,None,India,USA,Unspecified,Pending,None,2019-07-31,None,None,Pending,Active
78884,e-APR AOR,2019-07-31,FSW-Inland,0,None,China,Canada,Unspecified,Pending,None,2019-07-30,None,None,Pending,Active
78944,e-APR AOR,2019-07-30,CEC,3,None,Brazil,Canada,Unspecified,Pending,None,2019-07-30,None,None,Pending,Active
78908,e-APR AOR,2019-07-30,PNP-Outland,4,None,Rwanda,United Kingdom,Unspecified,Pending,None,2019-07-30,None,None,Pending,Active
78838,e-APR AOR,2019-07-30,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-07-30,None,None,Pending,Active
78992,e-APR AOR,2019-07-29,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-29,None,None,Pending,Active
78851,e-APR AOR,2019-07-29,PNP-Inland,0,British Columbia,Viet Nam,Canada,Unspecified,Pending,None,2019-07-29,None,None,Pending,Active
79311,e-APR AOR,2019-07-28,FSW-Outland,2,None,Brazil,Brazil,Unspecified,Pending,None,2019-07-28,None,None,Pending,Active
79149,e-APR AOR,2019-07-28,FSW-Outland,3,None,India,United Kingdom,Unspecified,Pending,None,2019-07-28,None,None,Pending,Active
79031,e-APR AOR,2019-07-28,FSW-Outland,0,None,India,USA,Unspecified,Pending,None,2019-07-28,None,None,Pending,Active
78689,e-APR AOR,2019-07-28,FSW-Outland,0,None,Nigeria,Nigeria,Unspecified,Pending,None,2019-07-28,None,None,Pending,Active
79008,e-APR AOR,2019-07-27,FSW-Outland,2,None,India,India,Unspecified,Pending,None,2019-07-27,None,None,Pending,Active
78946,e-APR AOR,2019-07-27,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-27,None,None,Pending,Active
78619,e-APR AOR,2019-07-27,FSW-Outland,0,None,India,USA,Unspecified,Pending,None,2019-07-27,None,None,Pending,Active
78755,e-APR AOR,2019-07-27,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-27,None,None,Pending,Active
78647,e-APR AOR,2019-07-27,FSW-Outland,0,None,Morocco,Morocco,Unspecified,Pending,None,2019-07-27,None,None,Pending,Active
78624,e-APR AOR,2019-07-26,FSW-Outland,3,None,China,USA,Unspecified,Pending,None,2019-07-26,None,None,Pending,Active
79288,Medicals Passed,2019-07-26,FSW-Outland,3,None,Lebanon,Lebanon,Unspecified,2019-07-12,None,2019-07-26,None,None,Pending,Active
78603,e-APR AOR,2019-07-26,FSW-Outland,5,None,Nigeria,Malaysia,Unspecified,Pending,None,2019-07-26,None,None,Pending,Active
79000,e-APR AOR,2019-07-26,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-26,None,None,Pending,Active
78616,e-APR AOR,2019-07-26,CEC,1,None,Nigeria,Canada,Unspecified,Pending,None,2019-07-26,None,None,Pending,Active
78594,e-APR AOR,2019-07-26,FSW-Outland,2,None,India,USA,Unspecified,Pending,None,2019-07-26,None,None,Pending,Active
78527,e-APR AOR,2019-07-25,FSW-Outland,1,None,China,China,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78488,e-APR AOR,2019-07-25,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
79075,e-APR AOR,2019-07-25,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
79041,e-APR AOR,2019-07-25,FSW-Outland,3,None,India,India,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78511,e-APR AOR,2019-07-25,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78714,e-APR AOR,2019-07-25,FSW-Outland,0,None,India,USA,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78672,e-APR AOR,2019-07-25,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
76728,e-APR AOR,2019-07-25,FSW-Outland,4,None,Nigeria,Viet Nam,Unspecified,Pending,None,2019-05-20,None,None,Pending,Active
78596,e-APR AOR,2019-07-25,FSW-Outland,0,None,China,USA,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78591,e-APR AOR,2019-07-25,FSW-Outland,0,None,India,USA,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78560,e-APR AOR,2019-07-25,FSW-Outland,0,None,Pakistan,Pakistan,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78512,e-APR AOR,2019-07-25,FSW-Outland,0,None,Nigeria,Unspecified,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78508,e-APR AOR,2019-07-25,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
78506,e-APR AOR,2019-07-25,CEC,1,None,India,India,Unspecified,Pending,None,2019-07-25,None,None,Pending,Active
79053,e-APR AOR,2019-07-24,FSW-Outland,2,None,Nigeria,Unspecified,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
79034,e-APR AOR,2019-07-24,FSW-Outland,0,None,India,Australia,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
78839,e-APR AOR,2019-07-24,FSW-Outland,1,None,India,USA,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
78637,e-APR AOR,2019-07-24,FSW-Outland,3,None,India,India,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
78593,e-APR AOR,2019-07-24,FSW-Inland,0,None,India,Canada,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
78580,e-APR AOR,2019-07-24,FSW-Outland,3,None,South Africa,South Africa,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
78471,e-APR AOR,2019-07-24,PNP-Outland,0,Alberta,India,India,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
78452,e-APR AOR,2019-07-24,CEC,0,None,Jamaica,Canada,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
78410,e-APR AOR,2019-07-24,FSW-Outland,0,None,Russia,Russia,Unspecified,Pending,None,2019-07-24,None,None,Pending,Active
79308,e-APR AOR,2019-07-23,FSW-Outland,0,None,Pakistan,Pakistan,Islamabad,Pending,None,2019-07-23,None,None,Pending,Active
79218,e-APR AOR,2019-07-23,PNP-Outland,0,Alberta,Kenya,Unspecified,Unspecified,Pending,None,2019-07-23,None,None,Pending,Active
78776,e-APR AOR,2019-07-23,FSW-Outland,0,None,Pakistan,Pakistan,Unspecified,Pending,None,2019-07-23,None,None,Pending,Active
78678,e-APR AOR,2019-07-23,FSW-Outland,0,None,India,Unspecified,Unspecified,Pending,None,2019-07-23,None,None,Pending,Active
78346,e-APR AOR,2019-07-23,FSW-Outland,0,None,Philippines,Philippines,Unspecified,Pending,None,2019-07-23,None,None,Pending,Active
79170,e-APR AOR,2019-07-22,FSW-Outland,1,None,Nigeria,Nigeria,Unspecified,Pending,None,2019-07-22,None,None,Pending,Active
78556,e-APR AOR,2019-07-22,FSW-Outland,0,None,Turkey,Turkey,Unspecified,Pending,None,2019-07-22,None,None,Pending,Active
78409,e-APR AOR,2019-07-22,FSW-Outland,0,None,Pakistan,Pakistan,Unspecified,Pending,None,2019-07-22,None,None,Pending,Active
78362,e-APR AOR,2019-07-22,FSW-Outland,1,None,India,USA,Unspecified,Pending,None,2019-07-22,None,None,Pending,Active
78343,e-APR AOR,2019-07-22,FSW-Outland,2,None,Sri Lanka,Sri Lanka,Unspecified,Pending,None,2019-07-22,None,None,Pending,Active
78286,e-APR AOR,2019-07-22,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-22,None,None,Pending,Active
78243,e-APR AOR,2019-07-22,PNP-Outland,3,Saskatchewan,India,India,Unspecified,Pending,None,2019-07-22,None,None,Pending,Active
79148,e-APR AOR,2019-07-21,FSW-Outland,0,None,Algeria,Algeria,Unspecified,Pending,None,2019-07-21,None,None,Pending,Active
79003,e-APR AOR,2019-07-21,FSW-Outland,1,None,Iran,Iran,Unspecified,Pending,None,2019-07-21,None,None,Pending,Active
78268,e-APR AOR,2019-07-21,PNP-Inland,3,None,China,Canada,Unspecified,Pending,None,2019-07-21,None,None,Pending,Active
78218,e-APR AOR,2019-07-21,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-07-21,None,None,Pending,Active
79158,e-APR AOR,2019-07-20,FSW-Outland,0,None,Nigeria,Nigeria,Unspecified,Pending,None,2019-07-20,None,None,Pending,Active
78432,e-APR AOR,2019-07-20,CEC,2,None,China,Canada,Unspecified,Pending,None,2019-07-20,None,None,Pending,Active
78183,e-APR AOR,2019-07-20,FSW-Outland,0,None,Russia,Unspecified,Unspecified,Pending,None,2019-07-20,None,None,Pending,Active
79096,e-APR AOR,2019-07-19,CEC,0,None,China,Canada,Unspecified,Pending,None,2019-07-19,None,None,Pending,Active
78881,e-APR AOR,2019-07-19,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-19,None,None,Pending,Active
78821,e-APR AOR,2019-07-19,FSW-Outland,1,None,India,India,New Delhi,Pending,None,2019-07-19,None,None,Pending,Active
78602,e-APR AOR,2019-07-18,FSW-Outland,2,None,India,USA,Unspecified,Pending,None,2019-07-18,None,None,Pending,Active
78443,e-APR AOR,2019-07-18,FSW-Outland,1,None,Nigeria,USA,Unspecified,Pending,None,2019-07-18,None,None,Pending,Active
78341,e-APR AOR,2019-07-18,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-18,None,None,Pending,Active
78080,e-APR AOR,2019-07-18,FSW-Outland,0,None,India,Malaysia,Unspecified,Pending,None,2019-07-18,None,None,Pending,Active
78042,e-APR AOR,2019-07-18,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-18,None,None,Pending,Active
78031,e-APR AOR,2019-07-18,FSW-Outland,1,None,Egypt,Egypt,Unspecified,Pending,None,2019-07-18,None,None,Pending,Active
78017,e-APR AOR,2019-07-18,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-18,None,None,Pending,Active
77963,Medicals Passed,2019-07-17,FSW-Outland,1,None,Barbados,Barbados,Unspecified,2019-08-06,None,2019-07-17,None,None,Pending,Active
79302,e-APR AOR,2019-07-17,FSW-Outland,0,None,Ukraine,Qatar,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
78949,e-APR AOR,2019-07-17,FSW-Outland,2,None,Mauritius,Mauritius,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
78531,e-APR AOR,2019-07-17,PNP-Outland,0,None,China,China,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
77965,e-APR AOR,2019-07-17,FSW-Outland,1,None,Barbados,Barbados,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
78658,e-APR AOR,2019-07-17,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
78171,e-APR AOR,2019-07-17,CEC,0,None,China,Canada,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
78070,e-APR AOR,2019-07-17,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
78030,e-APR AOR,2019-07-17,PNP-Inland,3,British Columbia,Brazil,Canada,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
77997,e-APR AOR,2019-07-17,FSW-Outland,1,None,South Africa,South Africa,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
77955,e-APR AOR,2019-07-17,FSW-Outland,0,None,Kazakhstan,Unspecified,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
77947,e-APR AOR,2019-07-17,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
77911,e-APR AOR,2019-07-17,CEC,0,None,Jordan,UAE,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
77899,e-APR AOR,2019-07-17,PNP-Outland,0,None,India,USA,Unspecified,Pending,None,2019-07-17,None,None,Pending,Active
78036,Medicals Passed,2019-07-16,FSW-Outland,1,None,Russia,Russia,Unspecified,2019-08-03,None,2019-07-16,None,None,Pending,Active
78988,e-APR AOR,2019-07-16,FSW-Outland,3,None,India,India,Unspecified,Pending,None,2019-07-16,None,None,Pending,Active
78595,e-APR AOR,2019-07-16,PNP-Outland,4,Manitoba,Egypt,Kuwait,Unspecified,Pending,None,2019-07-16,None,None,Pending,Active
78497,e-APR AOR,2019-07-16,FSW-Outland,1,None,India,India,Unspecified,Pending,None,2019-07-16,None,None,Pending,Active
78241,e-APR AOR,2019-07-16,FSW-Outland,0,None,Mauritius,UAE,Unspecified,Pending,None,2019-07-15,None,None,Pending,Active
78032,e-APR AOR,2019-07-16,CEC,4,None,India,Canada,Unspecified,Pending,None,2019-07-16,None,None,Pending,Active
77949,e-APR AOR,2019-07-16,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-16,None,None,Pending,Active
77876,e-APR AOR,2019-07-16,FSW-Outland,0,None,Zimbabwe,USA,Unspecified,Pending,None,2019-07-16,None,None,Pending,Active
77819,e-APR AOR,2019-07-16,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-16,None,None,Pending,Active
79133,Medicals Passed,2019-07-15,FSW-Outland,0,None,Algeria,Algeria,Unspecified,2019-08-02,None,2019-07-15,None,None,Pending,Active
78368,e-APR AOR,2019-07-15,FSW-Outland,1,None,Pakistan,UAE,Unspecified,Pending,None,2019-07-15,None,None,Pending,Active
77860,e-APR AOR,2019-07-15,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-07-15,None,None,Pending,Active
77825,e-APR AOR,2019-07-15,CEC,1,None,USA,Canada,Unspecified,Pending,None,2019-07-15,None,None,Pending,Active
77803,e-APR AOR,2019-07-15,CEC,0,None,China,Canada,Unspecified,Pending,None,2019-07-15,None,None,Pending,Active
78447,e-APR AOR,2019-07-14,FSW-Outland,2,None,India,India,Unspecified,Pending,None,2019-07-14,None,None,Pending,Active
78199,e-APR AOR,2019-07-14,CEC,0,None,China,Unspecified,Unspecified,Pending,None,2019-07-14,None,None,Pending,Active
76854,e-APR AOR,2019-07-14,FSW-Outland,2,None,India,USA,Unspecified,Pending,None,2019-07-14,None,None,Pending,Active
77757,Medicals Passed,2019-07-13,FSW-Outland,3,None,Morocco,Morocco,Unspecified,2019-08-02,None,2019-07-13,None,None,Pending,Active
79191,e-APR AOR,2019-07-13,CEC,2,None,Bangladesh,Canada,Unspecified,Pending,None,2019-07-13,None,None,Pending,Active
77730,Medicals Passed,2019-07-13,FSW-Outland,0,None,India,USA,Unspecified,2019-08-02,None,2019-07-13,None,None,Pending,Active
78168,Medicals Passed,2019-07-13,FSW-Outland,2,None,Morocco,Morocco,Unspecified,2019-08-02,None,2019-07-13,None,None,Pending,Active
78676,e-APR AOR,2019-07-13,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-13,None,None,Pending,Active
78599,e-APR AOR,2019-07-13,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-13,None,None,Pending,Active
78309,e-APR AOR,2019-07-13,CEC,0,None,Kazakhstan,Canada,Unspecified,Pending,None,2019-07-13,None,None,Pending,Active
78806,Medicals Passed,2019-07-12,FSW-Outland,1,None,India,USA,Unspecified,2019-08-02,None,2019-07-12,None,None,Pending,Active
78670,e-APR AOR,2019-07-12,CEC,1,None,Bangladesh,Canada,Unspecified,Pending,None,2019-07-12,None,None,Pending,Active
78119,e-APR AOR,2019-07-12,PNP-Outland,0,None,India,Unspecified,Unspecified,Pending,None,2019-07-12,None,None,Pending,Active
77840,e-APR AOR,2019-07-12,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-12,None,None,Pending,Active
77755,Medicals Passed,2019-07-11,FSW-Outland,0,None,India,UAE,Unspecified,2019-08-01,None,2019-07-11,None,None,Pending,Active
77573,Medicals Passed,2019-07-11,FSW-Inland,3,None,India,Canada,Unspecified,2019-08-02,None,2019-07-11,None,None,Pending,Active
77586,Medicals Passed,2019-07-11,FSW-Outland,5,None,Jordan,Qatar,Unspecified,2019-08-02,None,2019-07-11,None,None,Pending,Active
77528,Medicals Passed,2019-07-11,FSW-Outland,2,None,India,India,Unspecified,2019-08-02,None,2019-07-11,None,None,Pending,Active
79005,e-APR AOR,2019-07-11,PNP-Outland,2,None,India,Oman,Unspecified,Pending,None,2019-07-11,None,None,Pending,Active
78455,e-APR AOR,2019-07-11,PNP-Outland,0,Ontario,Tunisia,Tunisia,Unspecified,Pending,None,2019-07-11,None,None,Pending,Active
78385,e-APR AOR,2019-07-11,CEC,1,None,China,Canada,Unspecified,Pending,None,2019-07-11,None,None,Pending,Active
78132,e-APR AOR,2019-07-11,CEC,0,None,USA,Canada,Unspecified,Pending,None,2019-07-11,None,None,Pending,Active
77630,Medicals Passed,2019-07-10,FSW-Outland,1,None,Morocco,Morocco,Unspecified,2019-08-02,None,2019-07-10,None,None,Pending,Active
77715,Medicals Passed,2019-07-10,FSW-Outland,0,None,India,USA,Unspecified,2019-08-01,None,2019-07-10,None,None,Pending,Active
78909,e-APR AOR,2019-07-10,PNP-Outland,0,None,India,Canada,Unspecified,Pending,None,2019-07-10,None,None,Pending,Active
78126,e-APR AOR,2019-07-10,PNP-Inland,1,British Columbia,Italy,Canada,Unspecified,Pending,None,2019-07-10,None,None,Pending,Active
77940,e-APR AOR,2019-07-10,FSW-Inland,0,None,China,Canada,Unspecified,Pending,None,2019-07-10,None,None,Pending,Active
77975,Medicals Passed,2019-07-09,FSW-Outland,2,None,India,USA,Unspecified,2019-08-01,None,2019-07-09,None,None,Pending,Active
78125,Medicals Passed,2019-07-09,FSW-Outland,1,None,Russia,Russia,Unspecified,2019-08-02,None,2019-07-09,None,None,Pending,Active
78298,Medicals Passed,2019-07-09,FSW-Outland,0,None,India,Australia,Unspecified,2019-08-02,None,2019-07-09,None,None,Pending,Active
78130,e-APR AOR,2019-07-09,PNP-Outland,0,None,Nigeria,UAE,Unspecified,Pending,None,2019-07-09,None,None,Pending,Active
77458,e-APR AOR,2019-07-09,CEC,2,None,Brazil,Canada,Unspecified,Pending,None,2019-07-09,None,None,Pending,Active
77355,e-APR AOR,2019-07-09,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-09,None,None,Pending,Active
77336,e-APR AOR,2019-07-09,PNP-Outland,1,Alberta,South Africa,South Africa,Unspecified,Pending,None,2019-07-09,None,None,Pending,Active
79207,Medicals Passed,2019-07-08,FSW-Outland,1,None,Russia,Russia,Unspecified,2019-08-01,None,2019-07-08,None,None,Pending,Active
77448,Medicals Passed,2019-07-08,FSW-Outland,0,None,China,China,Unspecified,2019-08-01,None,2019-07-08,None,None,Pending,Active
77617,Medicals Passed,2019-07-08,FSW-Outland,0,None,Morocco,Morocco,Unspecified,2019-08-01,None,2019-07-08,None,None,Pending,Active
78685,e-APR AOR,2019-07-08,CEC,1,None,India,India,Unspecified,Pending,None,2019-07-08,None,None,Pending,Active
78359,e-APR AOR,2019-07-08,FSW-Inland,0,None,China,Canada,Unspecified,Pending,None,2019-07-08,None,None,Pending,Active
77398,e-APR AOR,2019-07-08,CEC,2,None,Brazil,Canada,Unspecified,Pending,None,2019-07-08,None,None,Pending,Active
77285,e-APR AOR,2019-07-08,PNP-Outland,4,New Brunswick,Ukraine,Ukraine,Unspecified,Pending,None,2019-07-08,None,None,Pending,Active
77211,Medicals Passed,2019-07-07,FSW-Outland,1,None,China,China,Unspecified,2019-08-01,None,2019-07-07,None,None,Pending,Active
78578,e-APR AOR,2019-07-07,FSW-Outland,3,None,Nigeria,Nigeria,Unspecified,Pending,None,2019-07-07,None,None,Pending,Active
77247,e-APR AOR,2019-07-07,FSW-Outland,2,None,Morocco,Morocco,Unspecified,Pending,None,2019-07-07,None,None,Pending,Active
77208,e-APR AOR,2019-07-07,CEC,0,None,China,Canada,Unspecified,Pending,None,2019-07-07,None,None,Pending,Active
78288,e-APR AOR,2019-07-06,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-07-06,None,None,Pending,Active
77225,Medicals Passed,2019-07-06,FSW-Outland,1,None,India,India,Unspecified,2019-08-01,None,2019-07-06,None,None,Pending,Active
77209,e-APR AOR,2019-07-06,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-07-06,None,None,Pending,Active
77370,e-APR AOR,2019-07-06,PNP-Outland,0,Alberta,Pakistan,Unspecified,Unspecified,Pending,None,2019-07-06,None,None,Pending,Active
77222,e-APR AOR,2019-07-06,FSW-Outland,2,None,India,USA,Unspecified,Pending,None,2019-07-06,None,None,Pending,Active
77196,e-APR AOR,2019-07-06,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-06,None,None,Pending,Active
77181,e-APR AOR,2019-07-06,FSW-Outland,0,None,India,Saudi Arabia,Unspecified,Pending,None,2019-07-06,None,None,Pending,Active
77828,Medicals Passed,2019-07-05,FSW-Outland,1,None,India,Oman,Unspecified,2019-07-31,None,2019-07-05,None,None,Pending,Active
77321,Medicals Passed,2019-07-05,FSW-Outland,2,None,India,India,Unspecified,2019-07-31,None,2019-07-05,None,None,Pending,Active
78202,e-APR AOR,2019-07-05,CEC,1,None,India,USA,Unspecified,Pending,None,2019-07-05,None,None,Pending,Active
77934,e-APR AOR,2019-07-05,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-05,None,None,Pending,Active
77426,e-APR AOR,2019-07-05,FSW-Outland,3,None,Pakistan,Pakistan,Unspecified,Pending,None,2019-07-05,None,None,Pending,Active
77387,e-APR AOR,2019-07-05,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-05,None,None,Pending,Active
77171,e-APR AOR,2019-07-05,PNP-Outland,0,None,India,Unspecified,Unspecified,Pending,None,2019-07-05,None,None,Pending,Active
77155,e-APR AOR,2019-07-05,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-05,None,None,Pending,Active
77097,e-APR AOR,2019-07-05,CEC,1,None,Tunisia,Canada,Unspecified,Pending,None,2019-07-05,None,None,Pending,Active
77121,Medicals Passed,2019-07-04,FSW-Outland,1,None,India,India,Unspecified,2019-07-31,None,2019-07-04,None,None,Pending,Active
77175,Medicals Passed,2019-07-04,FSW-Outland,0,None,Pakistan,Pakistan,Unspecified,2019-07-31,None,2019-07-04,None,None,Pending,Active
78844,e-APR AOR,2019-07-04,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
78742,e-APR AOR,2019-07-04,FSW-Outland,2,None,Sri Lanka,Sri Lanka,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
78692,e-APR AOR,2019-07-04,PNP-Outland,3,None,Trinidad and Tobago,Trinidad and Tobago,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
78598,Medicals Passed,2019-07-04,CEC,0,None,France,Unspecified,Unspecified,2019-07-04,None,2019-07-04,None,None,Pending,Active
77950,e-APR AOR,2019-07-04,CEC,0,None,South Korea,Canada,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
77927,e-APR AOR,2019-07-04,PNP-Outland,3,Alberta,Nigeria,Nigeria,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
77794,e-APR AOR,2019-07-04,CEC,0,None,China,Canada,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
77016,e-APR AOR,2019-07-04,CEC,1,None,Pakistan,Canada,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
77083,e-APR AOR,2019-07-04,CEC,0,None,Nigeria,Canada,Unspecified,Pending,None,2019-07-04,None,None,Pending,Active
76998,Medicals Passed,2019-07-03,FSW-Outland,2,None,Brazil,Brazil,Unspecified,2019-07-31,None,2019-07-02,None,None,Pending,Active
78803,e-APR AOR,2019-07-03,CEC,2,None,India,Unspecified,Unspecified,Pending,None,2019-07-03,None,None,Pending,Active
77254,e-APR AOR,2019-07-03,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-03,None,None,Pending,Active
76999,e-APR AOR,2019-07-03,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2019-07-03,None,None,Pending,Active
76989,e-APR AOR,2019-07-03,CEC,0,None,China,Canada,Unspecified,Pending,None,2019-07-03,None,None,Pending,Active
76961,e-APR AOR,2019-07-03,PNP-Inland,0,None,Philippines,Philippines,Unspecified,Pending,None,2019-07-03,None,None,Pending,Active
78550,Medicals Passed,2019-07-02,FSW-Outland,1,None,India,India,Unspecified,2019-07-31,None,2019-07-02,None,None,Pending,Active
77890,Medicals Passed,2019-07-02,FSW-Outland,0,None,Bangladesh,Bangladesh,Unspecified,2019-08-01,None,2019-07-02,None,None,Pending,Active
77227,e-APR AOR,2019-07-02,FSW-Outland,2,None,Nigeria,Nigeria,Unspecified,Pending,None,2019-07-02,None,None,Pending,Active
